Trade.Agreement,IAE,IAE_sum,IAE_factor
73_Association of Southeast Asian Nations Korea services_2007,1,1,1
732_Faroe Islands Finland_1992,1,1,1
74_Australia Canada_1960,1,1,1
742_Guinea Morocco_1997,1,1,1
75_Australia Chile_2008,2,2,2
756_Jordan Sudan amended_1989,1,1,1
76_Association of Southeast Asian Nations Services_1995,1,1,1
764_Malawi Zimbabwe_2006,1,1,1
767_Mexico Peru_1987,1,1,1
768_Morocco Saudi Arabia_1966,1,1,1
769_Morocco Senegal_1963,1,1,1
77_Australia New Zealand (ANZCERTA)_1983,1,1,1
771_Peru Thailand_2005,1,1,1
772_PTA for Eastern and Southern African States_1981,1,1,1
78_Australia New Zealand ANZCERTA services_1988,1,1,1
780_West African Economic Community (CEAO)_1973,1,1,1
781_Paraguay Venezuela_2008,1,1,1
782_Uruguay Venezuela_2008,1,1,1
783_Canada Portugal_1954,1,1,1
784_Canada Spain_1954,1,1,1
785_Latvia Ukraine Agriculture_1998,1,1,1
787_East African Community (EAC)_1999,3,3,2
787+1_EAC Burundi_2007,1,1,1
788_East Caribbean Common Market_1968,1,1,1
789_MERCOSUR Southern African Customs Union (SACU)_2008,1,1,1
79_Australia New Zealand Free Trade Agreement_1965,1,1,1
790_El Salvador Guatemala_1991,1,1,1
792_Brazil Uruguay_1982,1,1,1
793_EC Switzerland Bilaterals I_1999,2,2,2
795_Australia Malaysia_2012,3,2,2
797_Canada Honduras_2013,5,4,4
798_Canada Panama_2010,5,4,4
799_Central America EC_2012,6,5,5
8_Albania EC SAA_2006,2,2,1
80_Australia Papua New Guinea_1991,1,1,1
800_Chile Malaysia_2010,3,2,2
801_Chile Thailand_2013,4,2,2
803_Chile Vietnam_2011,2,1,1
804_China Costa Rica_2010,4,3,2
805_Colombia Costa Rica_2013,2,2,2
806_Colombia Israel_2013,2,2,1
808_Colombia Korea_2013,4,4,3
809_Colombia Panama_2013,4,3,3
81_Australia Papua New Guinea_1976,1,1,1
810_Colombia Peru EC_2012,5,4,4
810+1_Colombia Peru EC Ecuador accession_2016,1,1,1
810+2_Colombia Peru EC Croatia accession_2015,1,1,1
811_Commonwealth of Independent States_2011,1,1,1
813_Costa Rica Peru_2011,3,2,2
814_Costa Rica Singapore_2010,2,2,2
815_EC Korea_2010,5,3,3
817_EFTA Hong Kong_2011,4,3,3
818_EFTA Montenegro_2011,4,2,2
819_EFTA Peru_2010,2,2,2
82_Australia Singapore_2003,1,1,1
820_EFTA Ukraine_2010,2,2,1
821_MERCOSUR Egypt_2010,1,1,1
822_Guatemala Panama Protocol_2008,1,1,1
823_Guatemala Peru_2011,3,2,2
824_Honduras Panama_2007,1,1,1
825_Hong Kong New Zealand_2010,4,3,2
826_India Japan_2011,4,2,2
827_India Malaysia_2011,1,1,1
829_Japan Peru_2011,4,2,2
83_Australia Thailand_2004,1,1,1
830_Korea Peru_2011,5,4,3
831_Korea Turkey_2012,3,3,2
832_Mauritius Turkey_2011,1,1,1
833_Montenegro Ukraine_2011,1,1,1
834_New Zealand Taiwan_2013,4,3,3
835_Nicaragua Panama Protocol_2009,1,1,1
836_Pacific Alliance_2013,1,1,1
837_Panama Peru_2011,3,2,2
838_Peru Venezuela_2012,1,1,1
84_Australia US_2004,5,3,3
840_Australia China_2015,3,2,1
842_Australia Japan_2014,2,2,1
844_Bosnia and Herzogovina EFTA_2013,4,2,2
848_Canada EC (CETA)_2016,6,5,4
85_Austria EC_1972,1,1,1
852_Canada Korea_2014,5,3,3
855_Canada Ukraine_2016,5,3,3
858_Chile Hong Kong_2012,4,2,2
86_Azerbaijan Georgia_1996,1,1,1
862_China Switzerland_2013,4,3,2
864_Central America EFTA_2013,4,3,3
866_EC Georgia_2014,6,4,4
867_Armenia EC_2018,6,5,4
869_EC Japan_2018,6,4,4
872_EC Moldova_2014,6,5,4
874_EC Singapore_2018,4,4,4
876_EC Ukraine_2014,6,5,4
877_EC Vietnam_2016,6,5,4
885_Guatemala Trinidad Tobago_2015,1,1,1
890_MERCOSUR Mexico_2003,1,1,1
891_Mexico Panama_2014,2,2,1
895_Pacific Agreement on Closer Economic Relations (PACER) Plus_2017,3,2,2
896_Panama Trinidad Tobago_2013,1,1,1
899_Transpacific Partnership_2016,6,5,5
9_Albania EFTA_2009,1,1,1
9000_GATT47_1947,1,1,1
9001_Kennedy Protocols_1967,1,1,1
9002_Tokyo Codes_1979,2,1,1
9003_WTO Agreements_1994,2,2,1
9004_Revised Agreement on Governement Procurement_2012,1,1,1
9005_Agreement on Trade Facilitation_2014,1,1,1
902_East African Community Common Market_2009,2,2,2
906_Armenia Cyprus_1996,1,1,1
907_Bangladesh India_2006,1,1,1
909_China Korea_2015,4,3,3
911_Australia Korea_2014,4,3,3
912_Korea New Zealand_2015,5,4,4
913_Korea Vietnam_2015,1,1,1
915_Belarus Kazakhstan Russia Vietnam_2015,4,2,2
919_Honduras Peru_2015,2,2,2
92_Azerbaijan Ukraine_1995,1,1,1
930_Japan Mongolia_2015,3,3,2
935_India Korea_2009,2,2,2
94_Bahrain Jordan_2001,1,1,1
943_Malaysia Turkey_2014,3,2,2
949_Central America Mexico_2011,2,2,2
955_China Iceland_2013,2,2,2
96_Bahrain US_2004,4,3,3
961_Singapore Taipei_2013,2,2,1
962_Singapore Turkey_2015,2,2,2
965_EFTA Philippines_2016,4,3,3
968_Panama US_Environment,4,2,2
969_Korea US_Environment,4,2,2
97_Baltic Free Trade Area (BAFTA) agriculture_1996,1,1,1
971_Indonesia Pakistan_2012,1,1,1
972_Ecuador EFTA_2018,4,4,4
974_Chile Uruguay_2016,4,3,3
975_EC Kosovo SAA_2015,2,2,2
976_Laos_US_2003,1,1,1
977_EC EAC_2016,4,3,2
978_EC SADC_2016,4,2,2
979_EC Fiji Papua New Guinea_2009,1,1,1
98_Baltic Free Trade Area (BAFTA) industrial_1993,1,1,1
980_EC West African states_2014,2,2,2
981_EFTA Georgia_2016,3,3,3
983_Moldova Turkey_2014,1,1,1
984_Hong Kong Macao_2017,1,1,1
986_Pan-Arab Free Trade Area PAFTA_1997,1,1,1
987_EFTA SACU_2006,2,2,1
1001_Singapore Sri Lanka_2018,1,1,1
988_African Continental FTA_2018,1,1,1
989_Comprehensive and Progressive Agreement for Transpacific Partnership (CPTPP)_2018,5,4,4
99_Baltic Free Trade Area (BAFTA) Non Tariff Barriers_1997,1,1,1
990_China Georgia_2017,2,2,2
992_Australia Peru_2018,4,3,3
993_Argentina Chile_2017,4,4,4
995_Eurasian Economic Union (EEU) Iran_2018,1,1,1
996_Colombia MERCOSUR_2017,1,1,1
997_EC Kazakhstan_2015,5,4,3
